序号,场所名称,检验检测场所地址,领域,类别,检测对象,参数,依据的标准（方法）名称及编号（含年号）,限制范围,说明
541,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,结构,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
542,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,耐热、防火及耐漏电起痕,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
543,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,耐腐蚀,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
544,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,螺钉、载流部件及连接件,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
545,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,防止意外接触带电部件的措施,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
546,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,LED模块用直流或交流电子控制装置,防潮与绝缘,灯的控制装置 第14部分：LED模块用直流或交流电子控制装置的特殊要求GB 19510.14-2009,,
547,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,浪涌抗扰度,信息技术设备抗扰度限值和测量方法GB/T 17618-2015,不测：三相器具,
548,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,电压跌落、中断及电压变化抗扰度,信息技术设备抗扰度限值和测量方法GB/T 17618-2015,不测：三相器具,
549,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,电快速脉冲群抗扰度,信息技术设备抗扰度限值和测量方法GB/T 17618-2015,不测：三相器具,
550,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,静电放电抗扰度,信息技术设备抗扰度限值和测量方法GB/T 17618-2015,,
551,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,内部和外部接线,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
552,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,接地规定,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
553,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,标记,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
554,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,爬电距离和电气间隙,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
555,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,结构,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,不测同 GB7000.1-2015,
556,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,绝缘电阻和电气强度,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
557,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,耐久性试验和热试验,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
558,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,耐热、耐火和耐起痕,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
559,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,防尘、防固体异物和防水,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
560,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,固定式通用灯具,防触电保护,灯具 第2-1部分:特殊要求 固定式通用灯具GB 7000.201-2008,,
561,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,1GHz以上 辐射骚扰,信息技术设备的无线电骚扰限值和测量方法GB/T 9254-2008,,
562,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,1GHz以下辐射骚扰测量,信息技术设备的无线电骚扰限值和测量方法GB/T 9254-2008,,
563,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,信息技术设备,电源端子骚扰电压,信息技术设备的无线电骚扰限值和测量方法GB/T 9254-2008,不测：三相器具,
564,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,互换性,普通照明用自镇流灯的安全要求GB 16844-2008,只测：E14，E26，E27，GU10,
565,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,故障状态,普通照明用自镇流灯的安全要求GB 16844-2008,,
566,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,机械强度,普通照明用自镇流灯的安全要求GB 16844-2008,,
567,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,标志,普通照明用自镇流灯的安全要求GB 16844-2008,,
568,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,潮湿处理后的绝缘电阻和介电强度,普通照明用自镇流灯的安全要求GB 16844-2008,不测：5000V以上交流耐压,
569,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,灯头温升,普通照明用自镇流灯的安全要求GB 16844-2008,,
570,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,耐热性,普通照明用自镇流灯的安全要求GB 16844-2008,,
571,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,防火与防燃,普通照明用自镇流灯的安全要求GB 16844-2008,,
572,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用自镇流灯,防触电保护,普通照明用自镇流灯的安全要求GB 16844-2008,,
573,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,外部接线和内部接线,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
574,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,接地规定,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
575,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,标记,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
576,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,爬电距离和电气间隙,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
577,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,结构,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,不测同 GB7000.1-2015,
578,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,绝缘电阻和电气强度,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
579,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,耐久性试验和热试验,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
580,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,耐热、耐火和耐起痕,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
581,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,防尘、防固体异物和防水,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
582,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,嵌入式灯具,防触电保护,灯具 第2-2部分:特殊要求 嵌入式灯具GB 7000.202-2008,,
583,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,家用电器、电动工具和类似器具,30MHz-1GHz辐射骚扰场强测量,家用电器、电动工具和类似器具的电磁兼容要求 第1部分：发射GB 4343.1-2009,,
584,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,家用电器、电动工具和类似器具,频率范围为148.5kHz~30MHz的端子电压,家用电器、电动工具和类似器具的电磁兼容要求 第1部分：发射GB 4343.1-2018,不测：三相器具,
585,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,家用电器、电动工具和类似器具,频率范围为30MHz～1000MHz的辐射骚扰,家用电器、电动工具和类似器具的电磁兼容要求 第1部分：发射GB 4343.1-2018,,
586,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-安全,电工电子产品,第一位特征数字所表示的对接近危险部件防护的试验,外壳防护等级(IP代码)GB/T 4208-2017,,
587,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-安全,电工电子产品,第一位特征数字所表示的防止固体异物进入的试验,外壳防护等级(IP代码)GB/T 4208-2017,,
588,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-安全,电工电子产品,第二位特征数字所表示的防止水进入的试验,外壳防护等级(IP代码)GB/T 4208-2017,不测：IPX9,
589,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-安全,电工电子产品,附加字母所表示的接近危险部件防护的试验,外壳防护等级(IP代码)GB/T 4208-2017,,
590,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,保护接地装置,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
591,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,元器件,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,不测：元器件单独试验,
592,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,内部布线,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
593,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,发热,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,不测：14.3加速老化试验,
594,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,机械强度,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
595,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,标志和其他信息,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
596,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,爬电距离、电气间隙和贯通绝缘距离,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,不测：26.3.3卷轴试验,
597,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,电击防护,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
598,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,电源连接和其他外部软电缆或软线,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,不测：22.9.4软线弯曲试验,
599,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,短路和过载保护,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
600,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,短路电压,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
601,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,空载输出电压,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
602,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,结构,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,不测：19.9橡胶老化试验， 19.10绝缘涂层试验,
603,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,绝缘电阻、介电强度和漏电流,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
604,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,耐热、耐燃和耐电痕化,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
605,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,螺钉和连接,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
606,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,负载输出电压和输出电流,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
607,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,输入电压设定值的改变,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
608,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,变压器、电抗器、电源装置及其组合,防止灰尘、固体异物和潮湿有害进入的防护,变压器、电抗器、电源装置及其组合的安全 第1部分：通用要求和试验GB/T 19212.1-2016,,
609,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,保护接地装置,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
610,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,内部布线,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
611,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,发热,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,不测：14.3加速老化试验,
612,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,外部导线接线端子,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
613,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,机械强度,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
614,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,标志和其他信息,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
615,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,爬电距离、电气间隙和贯通绝缘距离,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,不测：26.3.3卷轴试验,
616,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,电击防护,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
617,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,电源连接和其他外部软电缆或软线,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,不测：22.9.4软线弯曲试验,
618,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,短路和过载保护,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
619,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,短路电压,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
620,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,空载输出电压,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
621,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,结构,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,不测：19.9橡胶老化试验， 19.10绝缘涂层试验,
622,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,绝缘电阻、介电强度和漏电流,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
623,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,耐热、耐燃和耐电痕化,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
624,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,螺钉和连接,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
625,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,负载输出电压和输出电流,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
626,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,输入电压设定值的改变,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
627,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,开关型电源装置和开关型电源装置用变压器,防止灰尘、固体异物和潮湿有害进入的防护,电源电压为1 100V及以下的变压器、电抗器、电源装置和类似产品的安全 第17部分：开关型电源装置和开关型电源装置用变压器的特殊要求和试验GB/T 19212.17-2019,,
628,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,保护接地装置,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
629,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,内部布线,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
630,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,发热,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,不测：14.3加速老化试验,
631,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,外部导线接线端子,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
632,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,机械强度,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
633,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,标志和其他信息,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
634,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,爬电距离、电气间隙和贯通绝缘距离,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,不测：26.3.3卷轴试验,
635,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,电击防护,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
636,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,电源连接和其他外部软电缆或软线,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,不测：22.9.4软线弯曲试验,
637,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,短路和过载保护,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
638,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,短路电压,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
639,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,空载输出电压,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
640,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,结构,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,不测：19.9橡胶老化试验， 19.10绝缘涂层试验,
641,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,绝缘电阻、介电强度和漏电流,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
642,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,耐热、耐燃和耐电痕化,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
643,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,螺钉和连接,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
644,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,负载输出电压和输出电流,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
645,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,输入电压设定值的改变,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
646,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-电器附件,电力变压器、电源、电抗器和类似产品,防止灰尘、固体异物和潮湿有害进入的防护,电力变压器、电源、电抗器和类似产品的安全 第1部分：通用要求和试验GB 19212.1-2008,,
647,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,互换性,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,只测：E14，E17，E26，E27，GU10,
648,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,意外接触带电部件的防护,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
649,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,故障状态,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
650,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,机械强度,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
651,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,标志,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
652,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,潮湿处理后的绝缘电阻和介电强度,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,不测：5000V以上交流耐压,
653,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,灯头温升,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
654,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,耐热性,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
655,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,普通照明用50V以上自镇流LED灯,防火与防燃,普通照明用50V以上自镇流LED灯 安全要求GB 24906-2010,,
656,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,内部布线,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
657,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,发热,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,不测：三相器具,
658,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,变压器和相关电路的过载保护,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,不测：三相器具,
659,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,外部导线用接线端子,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
660,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,对触及带电部件的防护,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
661,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,不测：三相器具,
662,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,接地措施,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
663,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,机械强度,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,不测：绝缘材料耐刮擦试验,
664,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,标志和说明,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
665,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,泄漏电流和电气强度,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
666,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,电气间隙、爬电距离和穿通绝缘距离,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
667,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,家用电器,电源连接和外部软线,家用和类似用途电器的安全 第一部分：通用要求GB 4706.1-2005,,
